vocals,instrumental,score,CLAP,normalized_score,normalized_CLAP,MERT,normalized_MERT
Grand Mal - Children of Light,Bam Bam - Hi-Q,53.971391677856445,0.36741933,0.9568247113272303,0.060407776,-0.7154551,-1.2435685
Grand Mal - Children of Light,Benji Cossa - New Flowers (Fast 4-track Version),54.12761116027832,0.22189566,1.0082769883964458,-0.43119085,0.75178635,1.3196526
Grand Mal - Children of Light,Bessie Smith - My Sweetie Went Away,48.65534973144531,0.70287746,-0.7940610226279108,1.1936307,0.9014988,1.5811951
Grand Mal - Children of Light,David Rovics - We Just Want The World,55.2502555847168,0.09435863,1.378029922415449,-0.8620282,-0.24106984,-0.41483355
Grand Mal - Children of Light,deef - Ein sonniger Tag mit dir,52.35727310180664,0.7177,0.4252003907882401,1.2437032,0.0038838547,0.013092245
Grand Mal - Children of Light,Dragon Or Emperor - Part of Me Says,53.54642295837402,0.21260437,0.8168574808539493,-0.4625781,-0.739652,-1.2858397
Grand Mal - Children of Light,Grand Mal - Children of Light,53.56060028076172,0.9999997,0.8215269081768576,2.1973498,-0.8091505,-1.4072512
Grand Mal - Children of Light,Home Blitz - Secret Wave,53.85064888000488,0.27073842,0.9170569961046574,-0.2661934,0.7223401,1.268211
Grand Mal - Children of Light,Josh Woodward - Cien Volando,53.587228775024414,0.49459288,0.8302972397865874,0.4900172,0.5614786,0.9871914
Grand Mal - Children of Light,Los Steaks - Sunday Girls,54.72847366333008,0.26904857,1.2061764021458303,-0.27190194,0.967281,1.6961144
Grand Mal - Children of Light,Mia Doi Todd - I gave you my home,53.544429779052734,0.7313485,0.8162010095028879,1.2898097,-0.3488345,-0.60309476
Grand Mal - Children of Light,Orange Peels - Grey Holiday,53.45487022399902,0.10181616,0.7867037728626138,-0.8368356,0.71492016,1.2552485
Grand Mal - Children of Light,Poland - Lying Machine,53.511680603027344,0.83615917,0.8054147768734873,1.6438743,0.8305179,1.4571939
Grand Mal - Children of Light,Shearer - Itch,53.1331958770752,0.11807723,0.6807574634305593,-0.7819035,0.016868962,0.035776787
Grand Mal - Children of Light,Short Hand - Certain Strangers,54.880130767822266,0.5554472,1.2561260194334776,0.6955914,0.039348733,0.075048186
Grand Mal - Children of Light,The Cute Lepers - Young Hearts,52.56524848937988,0.07095255,0.49369893590630737,-0.941097,-0.65728253,-1.141943
Grand Mal - Children of Light,The Embarrassment - Patio Set,52.542236328125,0.92361546,0.48611967576223525,1.9393133,0.856432,1.502465
Grand Mal - Children of Light,The J Arthur Keenes Band - The Boring World of Niels Bohr,52.775047302246094,-0.046933074,0.562798042375202,-1.3393307,0.058673672,0.1088082
Grand Mal - Children of Light,The Oranges Band - Ride the Nuclear Wave,52.8621883392334,0.74444985,0.5914987185627051,1.3340678,-0.62946916,-1.093354
Grand Mal - Children of Light,Wann - Happy Birthday,54.89185333251953,0.22032289,1.259986950460868,-0.4365039,-0.9368321,-1.6303066
Grand Mal - Children of Light,ZOELEELA - Jewel,53.61163902282715,0.43180522,0.8383369721797772,0.27791202,-0.509156,-0.88317096
Home Blitz - Secret Wave,Bam Bam - Hi-Q,52.54851150512695,0.34042245,0.4881864611641414,-0.030791335,0.95654744,1.6773633
Home Blitz - Secret Wave,Benji Cossa - New Flowers (Fast 4-track Version),52.94687080383301,0.8347631,0.6193896420501908,1.6391582,-0.80648714,-1.4025984
Home Blitz - Secret Wave,Bessie Smith - My Sweetie Went Away,47.32087516784668,0.29801503,-1.2335820985118664,-0.17404935,-0.8198465,-1.4259367
Home Blitz - Secret Wave,David Rovics - We Just Want The World,54.08444213867188,0.32400686,0.9940588868762836,-0.08624544,0.48527145,0.85406005
Home Blitz - Secret Wave,deef - Ein sonniger Tag mit dir,50.41348457336426,0.29046652,-0.21500366301405024,-0.19954923,0.43567914,0.767424
Home Blitz - Secret Wave,Dragon Or Emperor - Part of Me Says,52.16686630249024,0.5968365,0.3624882165932625,0.83541,0.8128068,1.4262532
